TEAM,PLACE M,KILL M,RANK
4AM,6,3.5,1
TSG,5,4.5,2
SQ,5.25,3.25,3
TSM,5.5,2.5,4
GEX,4.5,2.25,5
ZEN,4.5,1.75,6
T1,4.25,2,7
E36,3,2.5,8
DAY,3.25,1.75,9
K7,3.25,1.75,10
AF,3.5,1.25,11
FUR,3,1.5,12
DGW,2.25,1.75,13
META,2.75,1,14
NAVI,2.25,0.75,15
BRU,1.25,0,16
KIA,4,6.5,1
TIAN,1.75,7.5,2
LGD,3.25,5.5,3
GEN,3.5,5,4
PERO,2,5.75,5
VP,3.5,3.25,6
ENCE,2.5,3.75,7
STK,1.5,4.25,8
FAZE,1.75,3.75,9
DA,2,3.25,10
TL,1.5,2.25,11
IFTY,1.25,2.25,12
MCG,1.5,2,13
AAA,1.25,1.25,14
DXG,0.5,1.5,15
OATH,0.25,1,16
KIA,4.5,7.25,1
T1,4.75,6.75,2
K7,3.5,4.75,3
TL,3.75,4,4
AAA,1.5,4,5
DXG,1.5,3.25,6
TIAN,2,2.75,7
ENCE,2.75,2,8
LGD,0.5,4,9
4AM,1.25,3.25,10
TSM,1.25,3.25,11
NAVI,1.25,3,12
ZEN,1.5,2.5,13
DAY,0,3.5,14
TSG,1.5,1.75,15
VP,0.5,2,16
DA,5,7.5,1
IFTY,3.5,7,2
STK,4,6.25,3
SQ,3.5,5.75,4
BRU,3.5,4.75,5
OATH,2.75,4.25,6
FUR,1.25,3.25,7
DGW,1.75,2.5,8
PERO,1.75,2,9
GEN,1,2.5,10
GEX,1.25,2.25,11
E36,1.25,2,12
MCG,0,3,13
FAZE,1.25,1.75,14
META,0.25,2.25,15
AF,0,1.25,16
SQ,4.75,7,1
VP,4.25,6,2
TIAN,3.25,6,3
AF,2,6,4
FUR,2.5,4.5,5
LGD,2.5,4,6
BRU,3.25,3.25,7
KIA,2.75,3,8
TL,1,4,9
META,2,2.5,10
E36,0.25,3.25,11
DXG,0.75,2.75,12
DGW,0.75,2.5,13
AAA,1.75,1.5,14
ENCE,0,2.25,15
GEX,0.25,0.5,16
NAVI,4.5,8.25,1
STK,3.75,7.25,2
OATH,3.75,6.5,3
4AM,2.75,6.5,4
IFTY,3.75,4.5,5
GEN,2.25,3.25,6
FAZE,1.75,3,7
TSM,1.75,2.75,8
T1,1,3.25,9
ZEN,1,3.25,10
DAY,1.5,1.5,11
PERO,0.75,2,12
MCG,1,1.5,13
DA,1.5,1,14
K7,0.75,1.5,15
TSG,0.25,1.75,16
SQ,2,3.5,11
KIA,3.25,4.375,3
STK,2.4,5.3,2
TIAN,1.75,3.875,9
4AM,1.9,5.2,3
IFTY,2.2,4.6,4
T1,1.375,2.5,13
