KILLSTANDARDIZED,PLACE STANDARDIZED,RANK
1.298894192,1.495065776,1
1.517655319,0.8154904233,2
1.517655319,-0.1359150706,3
0.7519913742,0.5436602822,4
0.5332302472,0.8154904233,5
-0.6699559516,1.766895917,6
0.6426108107,0,7
-0.01367257044,0.5436602822,8
0.3144691201,-0.9514054939,9
-0.4511948245,-0.4077452117,10
-1.54500046,0.8154904233,11
0.09570799308,-1.359150706,12
-0.6699559516,-0.9514054939,13
-0.8887170786,-0.6795753528,14
-0.9980976422,-1.359150706,15
-1.435619896,-0.9514054939,16
1.823290022,1.609108276,1
2.03779473,0.5419276576,2
0.8580188337,0.8087228122,3
0.9652711879,0.5419276576,4
0.6435141253,0.6753252349,5
-0.3217570626,1.609108276,6
0,0.9421203894,7
-0.3217570626,0.4085300804,8
-0.2145047084,-0.6586505378,9
-0.1072523542,-0.9254456923,10
-0.9652711879,-0.258457806,11
-0.4290094169,-1.192240847,12
-0.8580188337,-0.792048115,13
-0.8580188337,-1.05884327,14
-0.9652711879,-1.05884327,15
-1.287028251,-1.192240847,16
1.946937314,2.408515181,1
1.141308081,0.7686750578,2
1.007036542,0.8711650655,3
0.604221925,0.9736550733,4
0.8727650027,-0.1537350116,5
-0.604221925,0.7686750578,6
0.06713576944,0.1537350116,7
-0.06713576944,-0.05124500386,8
0.2014073083,-0.358715027,9
0.2014073083,-0.4612050347,10
0.06713576944,-0.6661850501,11
-0.8727650027,-0.4612050347,12
-1.544122697,-0.358715027,13
-1.812665775,-0.2562250193,14
-0.3356788472,-1.486105112,15
-0.8727650027,-1.691085127,16
2.433491431,-0.3635362297,1
0.7789930076,1.090608689,2
0.2274935332,1.635913034,3
0.3377934281,0.9088405743,4
0.2274935332,1.090608689,5
0.3377934281,0.7270724594,6
0.9995927974,-0.5453043446,7
0.448093323,-0.3635362297,8
-0.1034061515,0.3635362297,9
-0.6549056259,0.7270724594,10
-0.1034061515,-0.5453043446,11
-0.6549056259,-0.1817681149,12
-0.1034061515,-1.272376804,13
-0.9858053105,-0.3635362297,14
-1.64760468,-0.7270724594,15
-1.537304785,-2.181217378,16
2.788926325,2.090574944,1
0.3827938094,1.742145787,2
0.9296421084,0.9291444196,3
0.9296421084,0.2322861049,4
0.2734241495,0.9291444196,5
-0.3827938094,0.4645722098,6
-0.1640544897,0,7
-0.1640544897,-0.1161430525,8
0.3827938094,-0.9291444196,9
-0.4921634692,-0.1161430525,10
0.05468482991,-0.9291444196,11
-0.3827938094,-0.5807152623,12
-0.7109027888,-1.045287472,13
-1.039011768,-0.8130013672,14
-1.039011768,-1.045287472,15
-1.367120748,-0.8130013672,16
1.500908621,2.810271055,1
2.520393723,1.170946273,2
1.387632499,0,3
0.5946996424,0.2341892546,4
-0.1982332141,0.5854731364,5
-0.1982332141,0,6
-0.3115093365,0.1170946273,7
-0.6513377036,0.4683785091,8
-0.5380615812,0.1170946273,9
-0.6513377036,-0.1170946273,10
-0.1982332141,-0.8196623909,11
-0.1982332141,-0.9367570182,12
-0.5380615812,-0.7025677637,13
-0.4247854589,-1.2880409,14
-0.8778899483,-0.9367570182,15
-1.217718315,-0.7025677637,16
1.336787257,1.68391522,1
1.907149819,0.6476597002,2
0.6238340531,1.55438328,3
0.3386527717,1.2953194,4
0.9090153345,0.6476597002,5
0.9090153345,0.3885958201,6
0.6238340531,-0.6476597002,7
-0.6594817133,0.3885958201,8
-1.087253635,0.12953194,9
-0.5168910726,-0.5181277602,10
-0.802072354,-0.2590638801,11
0.3386527717,-1.42485134,12
-0.5168910726,-0.6476597002,13
-0.802072354,-1.03625552,14
-1.515025557,-0.7771916402,15
-1.087253635,-1.42485134,16
1.682984911,1.367201052,1
0.9401501915,2.269271849,2
1.125858871,1.141683352,3
1.311567551,0.4651302547,4
0.5687328319,0.2396125555,5
0.7544415117,-0.4369405423,6
0.3830241521,0.0140948562,7
-0.5455192469,0.4651302547,8
-0.3598105671,-0.211422843,9
-0.3598105671,-0.211422843,10
-0.1741018873,-0.6624582416,11
-0.5455192469,-0.4369405423,12
-1.102645286,-0.211422843,13
-0.7312279267,-0.8879759408,14
-1.102645286,-1.11349364,15
-1.845480005,-1.790046738,16
1.446491806,1.845062416,1
1.957958522,-0.230632802,2
0.9350250901,1.15316401,3
0.6792917321,1.383796812,4
1.062891769,0,5
-0.2157750208,1.383796812,6
0.03995833718,0.461265604,7
0.2956916952,-0.461265604,8
0.03995833718,-0.230632802,9
-0.2157750208,0,10
-0.7272417367,-0.461265604,11
-0.7272417367,-0.691898406,12
-0.8551084157,-0.461265604,13
-1.238708453,-0.691898406,14
-1.110841774,-1.383796812,15
-1.366575132,-1.614429614,16
2.331844763,1.742537588,1
2.010211003,1.916791347,2
0.723675961,1.045522553,3
0.2412253203,1.219776312,4
0.2412253203,-0.3485075177,5
-0.2412253203,-0.3485075177,6
-0.5628590808,0,7
-1.045309721,0.5227612765,8
0.2412253203,-1.045522553,9
-0.2412253203,-0.5227612765,10
-0.2412253203,-0.5227612765,11
-0.4020422006,-0.5227612765,12
-0.723675961,-0.3485075177,13
-0.08040844011,-1.394030071,14
-1.206126602,-0.3485075177,15
-1.045309721,-1.045522553,16
1.917800514,1.971012959,1
1.669340529,0.9855064797,2
1.29665055,1.31400864,3
1.048190565,0.9855064797,4
0.5512705932,0.9855064797,5
0.3028106075,0.4927532399,6
-0.1941093638,-0.4927532399,7
-0.5667993423,-0.16425108,8
-0.815259328,-0.16425108,9
-0.5667993423,-0.6570043198,10
-0.6910293351,-0.4927532399,11
-0.815259328,-0.4927532399,12
-0.3183393566,-1.31400864,13
-0.9394893208,-0.4927532399,14
-0.6910293351,-1.14975756,15
-1.187949306,-1.31400864,16
1.824623509,1.90907787,1
1.27379377,1.561972803,2
1.27379377,0.8677626681,3
1.27379377,0,4
0.4475491625,0.3471050673,5
0.1721342933,0.3471050673,6
-0.2409880106,0.8677626681,7
-0.3786954452,0.5206576009,8
0.1721342933,-0.6942101345,9
-0.6541103144,0,10
-0.2409880106,-1.214867735,11
-0.5164028798,-0.8677626681,12
-0.6541103144,-0.8677626681,13
-1.204940053,-0.1735525336,14
-0.791817749,-1.388420269,15
-1.755769791,-1.214867735,16
2.00949863,1.903467469,1
1.576475356,1.332427228,2
1.251707901,1.332427228,3
1.251707901,0.5710402407,4
0.3856613533,1.332427228,5
-0.1556177391,0.1903467469,6
-0.2638735575,-0.1903467469,7
-0.372129376,-0.1903467469,8
-0.1556177391,-0.7613869876,9
-0.1556177391,-0.7613869876,10
-0.9134084683,-0.3806934938,11
-0.6968968314,-0.9517337345,12
-0.9134084683,-0.7613869876,13
-1.129920105,-0.3806934938,14
-0.9134084683,-0.9517337345,15
-0.8051526499,-1.332427228,16
2.089528586,1.138989595,1
0.7029289712,2.27797919,2
1.627328714,-0.7118684968,3
-0.2214707718,0.9966158955,4
-0.2214707718,0.9966158955,5
-0.06740414792,0.5694947975,6
0.5488623474,-0.1423736994,7
-0.2214707718,0.5694947975,8
0.3947957236,-0.8542421962,9
-0.3755373956,-0.1423736994,10
0.3947957236,-0.9966158955,11
-0.06740414792,-0.5694947975,12
-0.8377372671,-0.1423736994,13
-0.5296040194,-0.8542421962,14
-1.145870515,-0.7118684968,15
-2.070270258,-1.423736994,16
1.752920928,1.721751108,1
1.623673302,1.033050665,2
0.977435172,0.5165253324,3
0.7189399199,0.8608755539,4
-0.1857934625,1.205225776,5
1.106682798,-0.6887004432,6
0.4604446678,-0.1721751108,7
-0.1857934625,0.6887004432,8
-0.3150410885,0.1721751108,9
-0.7027839667,0.5165253324,10
-0.3150410885,-0.1721751108,11
-0.7027839667,-0.6887004432,12
-0.8320315927,-0.6887004432,13
-0.7027839667,-1.205225776,14
-0.9612792188,-1.549575997,15
-1.736764975,-1.549575997,16
1.16320613,1.744205699,1
